# BranchingRatios (pb) : Higgs (ggH & qqH) taken from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt8TeV
# BranchingRatios (pb) : Higgs (WH) taken from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageBR2 (may be old)
# On the left is the process name.
CellClass=TableCellMixed

Process     				 |      BranchingRatio       |  Comment
ggH125						 |  0.0947   +/- 0.00        |  H->WW * W+->l(e,mu,tau)nu * W+->jj * 2
ggH130						 |  0.0443   +/- 0.00        |  WRONG
ggH135						 |  0.0586   +/- 0.00        |  WRONG
ggH140						 |  0.0734   +/- 0.00        |  WRONG
ggH145						 |  0.0879   +/- 0.00        |  WRONG
ggH150						 |  0.102    +/- 0.00        |  WRONG
ggH160						 |  0.133    +/- 0.00        |  WRONG
ggH170						 |  0.141    +/- 0.00        |  WRONG
ggH180						 |  0.137    +/- 0.00        |  WRONG
ggH190						 |  0.115    +/- 0.00        |  WRONG
ggH200						 |  0.108    +/- 0.00        |  WRONG
ggH250						 |  0.103    +/- 0.00        |  WRONG
ggH300						 |  0.101    +/- 0.00        |  WRONG
ggH350						 |  0.0990   +/- 0.00        |  WRONG
ggH400						 |  0.0852   +/- 0.00        |  WRONG
ggH450						 |  0.0808   +/- 0.00        |  WRONG
ggH500						 |  0.0800   +/- 0.00        |  WRONG
ggH550						 |  0.0806   +/- 0.00        |  WRONG
ggH600						 |  0.0818   +/- 0.00        |  WRONG
ggH650						 |  0.0832   +/- 0.00        |  WRONG
ggH700						 |  0.0846   +/- 0.00        |  WRONG
ggH750						 |  0.0859   +/- 0.00        |  WRONG
ggH800						 |  0.0872   +/- 0.00        |  WRONG
ggH850						 |  0.0883   +/- 0.00        |  WRONG
ggH900						 |  0.0894   +/- 0.00        |  WRONG
ggH950						 |  0.0903   +/- 0.00        |  WRONG
ggH1000						 |  0.0912   +/- 0.00        |  WRONG
qqH100						 |  0.00161  +/- 0.00        |  WRONG
qqH105						 |  0.00352  +/- 0.00        |  WRONG
qqH110						 |  0.00699  +/- 0.00        |  WRONG
qqH115						 |  0.0126   +/- 0.00        |  WRONG
qqH120						 |  0.0207   +/- 0.00        |  WRONG
qqH125						 |  0.0947   +/- 0.00        |  H->WW * W->l(e,mu,tau)nu * W->jj * 2
qqH125_JESUp				 |  0.0947   +/- 0.00        |  H->WW * W->l(e,mu,tau)nu * W->jj * 2
qqH125_JESDown				 |  0.0947   +/- 0.00        |  H->WW * W->l(e,mu,tau)nu * W->jj * 2
qqH130						 |  0.0443   +/- 0.00        |  WRONG
qqH135						 |  0.0586   +/- 0.00        |  WRONG
qqH140						 |  0.0734   +/- 0.00        |  WRONG
qqH145						 |  0.0879   +/- 0.00        |  WRONG
qqH150						 |  0.102    +/- 0.00        |  WRONG
qqH160						 |  0.133    +/- 0.00        |  WRONG
qqH170						 |  0.141    +/- 0.00        |  WRONG
qqH180						 |  0.137    +/- 0.00        |  WRONG
qqH190						 |  0.115    +/- 0.00        |  WRONG
qqH200						 |  0.108    +/- 0.00        |  WRONG
qqH250						 |  0.103    +/- 0.00        |  WRONG
qqH300						 |  0.101    +/- 0.00        |  WRONG
qqH350						 |  0.0990   +/- 0.00        |  WRONG
qqH400						 |  0.0852   +/- 0.00        |  WRONG
qqH450						 |  0.0808   +/- 0.00        |  WRONG
qqH500						 |  0.0800   +/- 0.00        |  WRONG
qqH550						 |  0.0806   +/- 0.00        |  WRONG
qqH600						 |  0.0818   +/- 0.00        |  WRONG
qqH650						 |  0.0832   +/- 0.00        |  WRONG
qqH700						 |  0.0846   +/- 0.00        |  WRONG
qqH750						 |  0.0859   +/- 0.00        |  WRONG
qqH800						 |  0.0872   +/- 0.00        |  WRONG
qqH850						 |  0.0883   +/- 0.00        |  WRONG
qqH900						 |  0.0894   +/- 0.00        |  WRONG
qqH950						 |  0.0903   +/- 0.00        |  WRONG
qqH1000						 |  0.0912   +/- 0.00        |  WRONG
WH_ZH_TTH_HToWW_M125         |  0.2150   +/- 0.00        |  H(125)->WW
WH_ZH_TTH_HToWW_M125_JESUp   |  0.2150   +/- 0.00        |  H(125)->WW
WH_ZH_TTH_HToWW_M125_JESDown |  0.2150   +/- 0.00        |  H(125)->WW
WH_HToWW_M125 			     |  0.2150   +/- 0.00        |  H(125)->WW
ZH_HToWW_M125 			     |  0.2150   +/- 0.00        |  H(125)->WW
TTH_HToWW_M125			     |  0.2150   +/- 0.00        |  H(125)->WW
WH_ZH_TTH_HToZZ_M125         |  0.0264   +/- 0.00        |  H(125)->ZZ
WH_ZH_TTH_HToZZ_M125_JESUp   |  0.0264   +/- 0.00        |  H(125)->ZZ
WH_ZH_TTH_HToZZ_M125_JESDown |  0.0264   +/- 0.00        |  H(125)->ZZ
WH_HToZZ_M125 			     |  0.0264   +/- 0.00        |  H(125)->ZZ
ZH_HToZZ_M125 			     |  0.0264   +/- 0.00        |  H(125)->ZZ
TTH_HToZZ_M125			     |  0.0264   +/- 0.00        |  H(125)->ZZ
TTH_HToBB_M125               |  0.5770   +/- 0.00        |  H(125)->bb
TTH_Inclusive_M125           |  1.0000   +/- 0.00        |  Inclusive

