
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |        4.02982 +/- 0.931601 
             Par1 |   -0.00989096 +/- 0.0111101 
             Par2 |         5.1949 +/- 0.651214 
             Par3 |    0.0945226 +/- 0.00886018 
             Par4 |    0.0041991 +/- 0.00195121 
             Par5 | 1.19485e-14 +/- 3.69871e-06 
             Par6 |          48.6316 +/- 7.9017 
             Par7 |       0.060734 +/- 0.599305 
             Par8 |     2.19405e-05 +/- 2.67703 
             Par9 |       0.902693 +/- 0.268578 


