
 TF_Par_UDS_00_24 |                Parameters 
             Par0 |       16.7894 +/- 1.25431 
             Par1 |  -0.112311 +/- 0.00802241 
             Par2 |      8.04517 +/- 0.710497 
             Par3 |   0.168534 +/- 0.00545816 
             Par4 |      6.42101 +/- 0.811931 
             Par5 | 0.00449143 +/- 0.00170639 
             Par6 |      2.73734 +/- 0.249219 
             Par7 | -0.00790253 +/- 0.0018021 
             Par8 |      4.57701 +/- 0.238341 
             Par9 |  0.0756528 +/- 0.00176219 


