
 TF_Par_C_00_24 |                  Parameters 
           Par0 |         2.0272 +/- 0.706755 
           Par1 |   -0.0211587 +/- 0.00688629 
           Par2 |        2.23696 +/- 0.667273 
           Par3 |    0.0882095 +/- 0.00686482 
           Par4 |      0.185937 +/- 0.0476329 
           Par5 | 7.89279e-10 +/- 9.97485e-05 
           Par6 |         12.7215 +/- 2.77311 
           Par7 |     -0.133343 +/- 0.0241285 
           Par8 |         5.57948 +/- 1.60653 
           Par9 |      0.184055 +/- 0.0153504 


