
 TF_Par_B_00_13 |                  Parameters 
           Par0 |      0.0636928 +/- 0.216187 
           Par1 |   -0.0266514 +/- 0.00271596 
           Par2 |        1.90445 +/- 0.224888 
           Par3 |     0.107004 +/- 0.00310301 
           Par4 |    0.0310964 +/- 0.00545816 
           Par5 | 0.000626403 +/- 7.42127e-05 
           Par6 |          2.36923 +/- 1.9363 
           Par7 |     -0.0471124 +/- 0.015193 
           Par8 |        26.9913 +/- 0.980658 
           Par9 |     0.145132 +/- 0.00828811 


