
 TF_Par_G_13_24 |                  Parameters 
           Par0 |         5.11281 +/- 4.60092 
           Par1 |    -0.0855411 +/- 0.0300461 
           Par2 |         8.13909 +/- 4.68824 
           Par3 |     0.0779715 +/- 0.0284521 
           Par4 |      0.143997 +/- 0.0884009 
           Par5 | 6.87502e-13 +/- 0.000293041 
           Par6 |         75.8996 +/- 21.6589 
           Par7 |     -0.531807 +/- 0.0990328 
           Par8 |          27.4688 +/- 10.632 
           Par9 |     0.0391516 +/- 0.0582517 


