
 TF_Par_C_00_13 |                  Parameters 
           Par0 |         1.04872 +/- 1.88852 
           Par1 |    -0.0229952 +/- 0.0300478 
           Par2 |          5.1741 +/- 1.48818 
           Par3 |     0.0551175 +/- 0.0259409 
           Par4 |        0.00867416 +/- 0.025 
           Par5 | 0.000531115 +/- 0.000546678 
           Par6 |         28.3564 +/- 20.1549 
           Par7 |      -0.361309 +/- 0.204639 
           Par8 |         27.1424 +/- 5.55804 
           Par9 |    7.79978e-06 +/- 0.254126 


