
 TF_Par_C_13_24 |                  Parameters 
           Par0 |         19.9769 +/- 1.64326 
           Par1 |      -0.14167 +/- 0.0117549 
           Par2 |          6.00989 +/- 1.2824 
           Par3 |     0.106135 +/- 0.00932274 
           Par4 |   0.00173773 +/- 0.00274747 
           Par5 | 3.01511e-05 +/- 1.96702e-05 
           Par6 |        -66.7174 +/- 78.9578 
           Par7 |       0.450568 +/- 0.147698 
           Par8 |         125.744 +/- 32.1953 
           Par9 |    1.27474e-05 +/- 0.270396 


