
 TF_Par_C_00_24 |                Parameters 
           Par0 |      -24.1236 +/- 31.8021 
           Par1 |     0.454786 +/- 0.422651 
           Par2 |       24.6848 +/- 4.38106 
           Par3 | 3.92292e-06 +/- 0.0407488 
           Par4 |      0.707138 +/- 55.0459 
           Par5 |     0.487832 +/- 0.734623 
           Par6 |      1.26169 +/- 0.818815 
           Par7 |    -0.04318 +/- 0.0141576 
           Par8 |     0.439711 +/- 0.617305 
           Par9 |    0.134212 +/- 0.0109954 


