
 TF_Par_C_13_24 |               Parameters 
           Par0 |      24.4189 +/- 8.40428 
           Par1 |  -0.153539 +/- 0.0685015 
           Par2 |  0.000599499 +/- 11.3098 
           Par3 |   0.204725 +/- 0.0272373 
           Par4 |  3.35503e-05 +/- 1.76002 
           Par5 |   0.0235414 +/- 0.012819 
           Par6 |      2.30377 +/- 3.23893 
           Par7 | -0.0346816 +/- 0.0211805 
           Par8 |  0.000149391 +/- 2.71303 
           Par9 |   0.093262 +/- 0.0115216 


