
 TF_Par_UDS_00_13 |                  Parameters 
             Par0 |         2.52896 +/- 1.16247 
             Par1 |    -0.0400719 +/- 0.0173742 
             Par2 |         1.61242 +/- 1.07919 
             Par3 |      0.106596 +/- 0.0156998 
             Par4 |     0.0303504 +/- 0.0140587 
             Par5 | 2.90493e-09 +/- 0.000747391 
             Par6 |         1.72373 +/- 31.0063 
             Par7 |      -0.204097 +/- 0.329766 
             Par8 |          34.2137 +/- 11.316 
             Par9 |     0.0364653 +/- 0.0870298 


