
 TF_Par_C_00_13 |                  Parameters 
           Par0 |        0.644998 +/- 1.42306 
           Par1 |    -0.0346509 +/- 0.0265427 
           Par2 |        0.984456 +/- 1.00488 
           Par3 |      0.130148 +/- 0.0187704 
           Par4 |     0.0223211 +/- 0.0145131 
           Par5 | 6.61842e-12 +/- 0.000278774 
           Par6 |         5.15447 +/- 20.8454 
           Par7 |      -0.072135 +/- 0.321407 
           Par8 |         25.6205 +/- 5.59338 
           Par9 |   4.51262e-11 +/- 0.0650706 


