
 TF_Par_B_13_24 |                  Parameters 
           Par0 |        11.4706 +/- 0.697678 
           Par1 |    -0.126355 +/- 0.00461789 
           Par2 |       0.885179 +/- 0.587977 
           Par3 |     0.144203 +/- 0.00398994 
           Par4 |    0.0130206 +/- 0.00283605 
           Par5 | 1.30163e-08 +/- 8.88666e-05 
           Par6 |         76.1092 +/- 12.3266 
           Par7 |     -0.435512 +/- 0.0777296 
           Par8 |         31.6249 +/- 7.44625 
           Par9 |      0.281126 +/- 0.0481301 


