
 TF_Par_B_13_24 |                  Parameters 
           Par0 |         6.8028 +/- 0.419356 
           Par1 |   -0.0802826 +/- 0.00225907 
           Par2 |        6.85609 +/- 0.329469 
           Par3 |    0.0975618 +/- 0.00191999 
           Par4 |  1.57737e-05 +/- 0.00187694 
           Par5 | 0.000242418 +/- 1.46062e-05 
           Par6 |          72.9768 +/- 4.8677 
           Par7 |     -0.501366 +/- 0.0411922 
           Par8 |         66.2977 +/- 11.9158 
           Par9 |     0.00108471 +/- 0.434122 


