
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |        1.67372 +/- 0.531883 
             Par1 |   -0.0172508 +/- 0.00686119 
             Par2 |         2.2222 +/- 0.411884 
             Par3 |     0.121154 +/- 0.00524941 
             Par4 |    0.0109445 +/- 0.00267888 
             Par5 | 2.71999e-14 +/- 8.21254e-06 
             Par6 |        -1.22115 +/- 17.2974 
             Par7 |       0.176803 +/- 0.187516 
             Par8 |         33.4968 +/- 7.85349 
             Par9 |      0.323363 +/- 0.0796915 


