
 TF_Par_C_00_13 |               Parameters 
           Par0 |       36.892 +/- 7.41737 
           Par1 |  -0.0825827 +/- 0.169649 
           Par2 |      8.22274 +/- 3.90873 
           Par3 | 2.63683e-09 +/- 0.138807 
           Par4 |      59.4557 +/- 60.4165 
           Par5 | 2.62465e-06 +/- 0.854929 
           Par6 |      6.09399 +/- 2.83905 
           Par7 | -0.0801751 +/- 0.0501893 
           Par8 |      2.09419 +/- 1.39288 
           Par9 |   0.103759 +/- 0.0262334 


