
 TF_Par_G_00_13 |               Parameters 
           Par0 |     -56.8874 +/- 31.7653 
           Par1 |    0.329927 +/- 0.162675 
           Par2 |      44.8986 +/- 11.9828 
           Par3 | 4.07106e-07 +/- 0.096039 
           Par4 |       37.867 +/- 25.6339 
           Par5 | 3.64154e-07 +/- 0.139082 
           Par6 |      -2.7043 +/- 1.58307 
           Par7 |  -0.017855 +/- 0.0140128 
           Par8 |      7.48067 +/- 1.44745 
           Par9 |  0.0479287 +/- 0.0130721 


