
 TF_Par_B_13_24 |              Parameters 
           Par0 |     28.5133 +/- 12.6217 
           Par1 | -0.197149 +/- 0.0894683 
           Par2 | 1.28577e-08 +/- 2.93173 
           Par3 |  0.193882 +/- 0.0289608 
           Par4 | 1.49775e-05 +/- 3.05879 
           Par5 | 0.0181459 +/- 0.0136157 
           Par6 |    0.916927 +/- 6.74131 
           Par7 | -0.050664 +/- 0.0399305 
           Par8 | 8.49002e-05 +/- 3.64647 
           Par9 |  0.089818 +/- 0.0190287 


