
 TF_Par_G_00_13 |                  Parameters 
           Par0 |       18.0693 +/- 0.0334339 
           Par1 |     0.21919 +/- 0.000624655 
           Par2 |   4.53553e-10 +/- 0.0128084 
           Par3 | 0.000666522 +/- 0.000236407 
           Par4 |    2.01768e-06 +/- 0.522116 
           Par5 |   0.00481755 +/- 0.00298481 
           Par6 |        0.926314 +/- 1.66666 
           Par7 |     -0.049857 +/- 0.0171222 
           Par8 |         5.72894 +/- 1.09128 
           Par9 |     0.0907634 +/- 0.0112158 


