
 TF_Par_G_13_24 |                  Parameters 
           Par0 |        -7.07672 +/- 7.32817 
           Par1 |    -0.0339084 +/- 0.0245158 
           Par2 |          19.858 +/- 4.98411 
           Par3 |     0.0284545 +/- 0.0186834 
           Par4 |        0.192074 +/- 0.15828 
           Par5 | 1.95783e-12 +/- 0.000133953 
           Par6 |        -1.52283 +/- 29.9193 
           Par7 |      -0.100904 +/- 0.113444 
           Par8 |          9.5887 +/- 10.5131 
           Par9 |       0.17493 +/- 0.0794683 


