
 TF_Par_C_00_24 |                  Parameters 
           Par0 |       -0.479226 +/- 1.54666 
           Par1 |    -0.0347168 +/- 0.0177205 
           Par2 |         2.67581 +/- 1.41705 
           Par3 |      0.105777 +/- 0.0153221 
           Par4 |     0.0277565 +/- 0.0129863 
           Par5 | 3.44767e-13 +/- 0.000106174 
           Par6 |            23.459 +/- 17.18 
           Par7 |     -0.0753802 +/- 0.217767 
           Par8 |     1.79378e-05 +/- 5.73129 
           Par9 |      0.441569 +/- 0.0965794 


