
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |         13.5437 +/- 2.67876 
             Par1 |    -0.0551422 +/- 0.0186971 
             Par2 |         8.43716 +/- 2.55527 
             Par3 |     0.0723291 +/- 0.0185018 
             Par4 |    0.0150673 +/- 0.00846559 
             Par5 | 1.26508e-10 +/- 0.000143156 
             Par6 |          124.104 +/- 58.392 
             Par7 |       -0.57599 +/- 0.277735 
             Par8 |          80.3896 +/- 22.679 
             Par9 |    3.25485e-07 +/- 0.177056 


