
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |         12.4368 +/- 1.73784 
             Par1 |    -0.0795655 +/- 0.0136163 
             Par2 |         6.76563 +/- 1.29724 
             Par3 |     0.0912919 +/- 0.0102359 
             Par4 |    0.0148498 +/- 0.00679631 
             Par5 | 2.02502e-10 +/- 8.81383e-05 
             Par6 |           78.445 +/- 48.996 
             Par7 |      -0.573242 +/- 0.305081 
             Par8 |          63.534 +/- 31.7165 
             Par9 |      0.0216387 +/- 0.386259 


