
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |         11.3766 +/- 2.96061 
             Par1 |    -0.0567269 +/- 0.0208467 
             Par2 |         4.73332 +/- 2.69731 
             Par3 |     0.0965428 +/- 0.0195717 
             Par4 |     0.0876167 +/- 0.0495203 
             Par5 | 7.26119e-11 +/- 0.000244114 
             Par6 |         31.0985 +/- 21.7255 
             Par7 |      -0.113725 +/- 0.124558 
             Par8 |         24.2872 +/- 11.4142 
             Par9 |       0.14677 +/- 0.0676461 


