
 TF_Par_C_00_13 |               Parameters 
           Par0 |     -16.6921 +/- 15.3565 
           Par1 |   0.0597713 +/- 0.161771 
           Par2 |      27.0729 +/- 5.22432 
           Par3 | 8.43488e-08 +/- 0.160702 
           Par4 |      7.41111 +/- 3.54464 
           Par5 | 3.16041e-06 +/- 0.247443 
           Par6 |     0.477667 +/- 2.08639 
           Par7 | -0.0329619 +/- 0.0324882 
           Par8 |       1.68869 +/- 1.4726 
           Par9 |  0.0882189 +/- 0.0245654 


