
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |        3.51719 +/- 0.558162 
             Par1 |   -0.0255341 +/- 0.00831875 
             Par2 |        2.33551 +/- 0.475807 
             Par3 |     0.108467 +/- 0.00717977 
             Par4 |   0.00883804 +/- 0.00515885 
             Par5 | 7.58816e-05 +/- 7.78852e-05 
             Par6 |         18.3517 +/- 17.7484 
             Par7 |      -0.307892 +/- 0.119428 
             Par8 |          46.114 +/- 8.02801 
             Par9 |     0.0101331 +/- 0.0650301 


