
 TF_Par_C_13_24 |                Parameters 
           Par0 |       27.2341 +/- 11.6452 
           Par1 |    -0.136752 +/- 0.102222 
           Par2 |   0.000233281 +/- 4.74095 
           Par3 |    0.210264 +/- 0.0285247 
           Par4 |       2.93417 +/- 1.59914 
           Par5 | 4.44306e-07 +/- 0.0487918 
           Par6 |       2.24632 +/- 2.81632 
           Par7 |  -0.0488574 +/- 0.0275722 
           Par8 |      0.199588 +/- 2.32391 
           Par9 |   0.0257786 +/- 0.0181552 


