
 TF_Par_G_00_13 |               Parameters 
           Par0 |      16.8918 +/- 9.00983 
           Par1 |  -0.254527 +/- 0.0999538 
           Par2 |       3.65463 +/- 3.6382 
           Par3 |   0.206347 +/- 0.0628214 
           Par4 |      0.133555 +/- 10.598 
           Par5 |  0.0853962 +/- 0.0798963 
           Par6 |     -2.58966 +/- 1.77252 
           Par7 | -0.0117691 +/- 0.0175601 
           Par8 |       4.44498 +/- 1.9427 
           Par9 |  0.0766599 +/- 0.0167527 


