
 TF_Par_UDS_00_13 |                  Parameters 
             Par0 |        2.90309 +/- 0.714491 
             Par1 |    -0.0231021 +/- 0.0118307 
             Par2 |        3.04147 +/- 0.565003 
             Par3 |    0.0892541 +/- 0.00975886 
             Par4 |    0.0153847 +/- 0.00742063 
             Par5 | 5.58652e-11 +/- 2.43894e-05 
             Par6 |         4.53043 +/- 43.2486 
             Par7 |      -0.304061 +/- 0.718789 
             Par8 |         42.4184 +/- 8.08229 
             Par9 |   4.65241e-09 +/- 0.0250779 


