
 TF_Par_G_00_13 |                  Parameters 
           Par0 |        1.76069 +/- 0.669931 
           Par1 |   -0.0650167 +/- 0.00897832 
           Par2 |          1.902 +/- 0.626126 
           Par3 |      0.11265 +/- 0.00815677 
           Par4 |    0.0524348 +/- 0.00634794 
           Par5 | 1.15088e-09 +/- 5.59002e-05 
           Par6 |         -17.7031 +/- 10.924 
           Par7 |        0.42236 +/- 0.104516 
           Par8 |          37.002 +/- 5.93479 
           Par9 |      0.180375 +/- 0.0579131 


