
 TF_Par_UDS_00_13 |                  Parameters 
             Par0 |         5.62448 +/- 1.29322 
             Par1 |    -0.0293097 +/- 0.0209691 
             Par2 |        2.10713 +/- 0.966435 
             Par3 |       0.114708 +/- 0.015377 
             Par4 |    0.0140062 +/- 0.00936914 
             Par5 | 2.41636e-10 +/- 0.000117698 
             Par6 |         -1.3607 +/- 45.1228 
             Par7 |     -0.0722437 +/- 0.453701 
             Par8 |         49.7028 +/- 14.8629 
             Par9 |   1.66409e-07 +/- 0.0696472 


