
 TF_Par_G_13_24 |                  Parameters 
           Par0 |         13.0508 +/- 3.19839 
           Par1 |     -0.142293 +/- 0.0186246 
           Par2 |         6.06106 +/- 2.32588 
           Par3 |       0.116549 +/- 0.013489 
           Par4 |     0.0149076 +/- 0.0298174 
           Par5 | 6.78439e-05 +/- 0.000164913 
           Par6 |         71.7874 +/- 10.5055 
           Par7 |       0.174647 +/- 0.038924 
           Par8 |         9.95275 +/- 4.18675 
           Par9 |     1.9392e-07 +/- 0.018144 


