
 TF_Par_T_00_24 |                Parameters 
           Par0 |       5.92589 +/- 3.42469 
           Par1 |    -0.15724 +/- 0.0515776 
           Par2 |       1.05199 +/- 1.70111 
           Par3 |    0.197798 +/- 0.0472833 
           Par4 |    0.0804604 +/- 0.103164 
           Par5 | 0.00142356 +/- 0.00135245 
           Par6 |      -35.0559 +/- 33.9889 
           Par7 |    -0.292124 +/- 0.124709 
           Par8 |       62.4544 +/- 13.1512 
           Par9 |     0.147009 +/- 0.103339 


