
 TF_Par_G_00_13 |                Parameters 
           Par0 |     -0.594513 +/- 2.36759 
           Par1 |  -0.0310523 +/- 0.0285171 
           Par2 |       3.30521 +/- 1.56656 
           Par3 |   0.0755035 +/- 0.0220572 
           Par4 | 1.48152e-11 +/- 0.0618215 
           Par5 |  0.0016003 +/- 0.00101326 
           Par6 |      -6.01236 +/- 14.5119 
           Par7 |  -0.0775962 +/- 0.0866884 
           Par8 |       11.7475 +/- 8.17875 
           Par9 |    0.143414 +/- 0.0454601 


