
 TF_Par_T_00_13 |                Parameters 
           Par0 |       -1.57631 +/- 3.2108 
           Par1 |  -0.0332121 +/- 0.0430003 
           Par2 |       6.54691 +/- 3.11428 
           Par3 |    0.071468 +/- 0.0441253 
           Par4 |    0.0582326 +/- 0.141335 
           Par5 | 0.00492237 +/- 0.00217216 
           Par6 |      -4.65226 +/- 21.1628 
           Par7 |    -0.387618 +/- 0.149538 
           Par8 |       33.0802 +/- 8.18817 
           Par9 |    0.158816 +/- 0.0638828 


