
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |        2.43615 +/- 0.437498 
             Par1 |   -0.0220801 +/- 0.00704104 
             Par2 |        2.46566 +/- 0.384011 
             Par3 |     0.103325 +/- 0.00652256 
             Par4 |   0.00827214 +/- 0.00764253 
             Par5 | 0.000260002 +/- 0.000157188 
             Par6 |         9.54269 +/- 7.47884 
             Par7 |    -0.0777548 +/- 0.0524239 
             Par8 |         29.8196 +/- 4.21109 
             Par9 |      0.095886 +/- 0.0350693 


