
 TF_Par_B_00_24 |                Parameters 
           Par0 |     -0.375771 +/- 7.70292 
           Par1 |  -0.0331182 +/- 0.0608691 
           Par2 |       11.4194 +/- 3.34656 
           Par3 | 1.97424e-12 +/- 0.0288653 
           Par4 |  7.79739e-10 +/- 0.386464 
           Par5 |  0.0011344 +/- 0.00102234 
           Par6 |      -103.464 +/- 98.5741 
           Par7 |     0.069899 +/- 0.304121 
           Par8 |       45.7461 +/- 22.6815 
           Par9 |  5.49807e-09 +/- 0.142788 


