
 TF_Par_C_00_13 |                  Parameters 
           Par0 |        2.63312 +/- 0.609697 
           Par1 |   -0.0488475 +/- 0.00846858 
           Par2 |        3.70327 +/- 0.533221 
           Par3 |    0.0897367 +/- 0.00769712 
           Par4 |     0.0227372 +/- 0.0114259 
           Par5 | 0.000140573 +/- 0.000119885 
           Par6 |         11.8862 +/- 7.69443 
           Par7 |    -0.0917384 +/- 0.0764555 
           Par8 |          9.5998 +/- 4.74716 
           Par9 |      0.309036 +/- 0.0612848 


