
 TF_Par_G_00_24 |                  Parameters 
           Par0 |        0.962529 +/- 1.39301 
           Par1 |    -0.0548831 +/- 0.0137798 
           Par2 |         4.35986 +/- 1.09562 
           Par3 |     0.0883418 +/- 0.0111887 
           Par4 |      0.103374 +/- 0.0574117 
           Par5 | 1.40841e-09 +/- 0.000327791 
           Par6 |         19.4498 +/- 8.19437 
           Par7 |     -0.217068 +/- 0.0625743 
           Par8 |         7.96603 +/- 4.39811 
           Par9 |      0.185352 +/- 0.0439018 


