
 TF_Par_G_00_24 |                  Parameters 
           Par0 |       -0.202203 +/- 2.05756 
           Par1 |    -0.0603726 +/- 0.0204711 
           Par2 |         2.43898 +/- 1.46722 
           Par3 |     0.0959874 +/- 0.0190338 
           Par4 |        0.304241 +/- 0.19436 
           Par5 | 1.31418e-11 +/- 0.000732905 
           Par6 |         16.7575 +/- 6.29816 
           Par7 |     -0.165034 +/- 0.0423441 
           Par8 |         3.43995 +/- 2.66841 
           Par9 |        0.16992 +/- 0.030068 


