
 TF_Par_C_13_24 |                  Parameters 
           Par0 |         9.83368 +/- 3.47451 
           Par1 |     0.0215206 +/- 0.0202979 
           Par2 |         1.22449 +/- 1.87482 
           Par3 |      0.020948 +/- 0.0193582 
           Par4 |       0.187895 +/- 0.105507 
           Par5 | 4.64828e-10 +/- 0.000809866 
           Par6 |           43.79 +/- 18.2634 
           Par7 |      -0.371856 +/- 0.112636 
           Par8 |         28.3632 +/- 19.0448 
           Par9 |      0.0435021 +/- 0.106753 


