
 TF_Par_G_00_24 |                  Parameters 
           Par0 |         3.7429 +/- 0.186697 
           Par1 |   -0.0867891 +/- 0.00235271 
           Par2 |        2.56783 +/- 0.157357 
           Par3 |     0.109382 +/- 0.00192772 
           Par4 |    0.0262698 +/- 0.00168053 
           Par5 | 4.61424e-13 +/- 3.58729e-06 
           Par6 |          7.9089 +/- 2.73109 
           Par7 |      0.184513 +/- 0.0345222 
           Par8 |         12.8956 +/- 1.40846 
           Par9 |      0.310474 +/- 0.0168747 


