
 TF_Par_C_00_24 |                  Parameters 
           Par0 |         1.21398 +/- 2.15758 
           Par1 |    -0.0299665 +/- 0.0286721 
           Par2 |         4.65979 +/- 1.33383 
           Par3 |     0.0939927 +/- 0.0171863 
           Par4 |      0.0310729 +/- 0.027732 
           Par5 | 0.000284757 +/- 0.000490401 
           Par6 |         59.8981 +/- 14.5458 
           Par7 |      -0.679037 +/- 0.121622 
           Par8 |         20.4131 +/- 5.34818 
           Par9 |   3.48664e-06 +/- 0.0853499 


