
 TF_Par_G_13_24 |                  Parameters 
           Par0 |        16.8945 +/- 0.668304 
           Par1 |    -0.159785 +/- 0.00458997 
           Par2 |        6.16777 +/- 0.533836 
           Par3 |    0.0994722 +/- 0.00360652 
           Par4 |    0.0195734 +/- 0.00274028 
           Par5 | 3.56681e-08 +/- 5.75287e-05 
           Par6 |         45.6041 +/- 7.26381 
           Par7 |     0.0700467 +/- 0.0674677 
           Par8 |         16.4304 +/- 4.47637 
           Par9 |      0.303217 +/- 0.0336106 


