
 TF_Par_G_00_13 |                Parameters 
           Par0 |       13.1759 +/- 11.0352 
           Par1 |    -0.252217 +/- 0.124755 
           Par2 |       19.6824 +/- 6.51394 
           Par3 |   0.0388573 +/- 0.0730261 
           Par4 |   1.02449e-05 +/- 2.72959 
           Par5 |    0.151705 +/- 0.0649789 
           Par6 |      -1.98812 +/- 1.26151 
           Par7 | -0.00836255 +/- 0.0134439 
           Par8 |       3.29796 +/- 1.15945 
           Par9 |   0.0861638 +/- 0.0108687 


