
 TF_Par_B_00_13 |                Parameters 
           Par0 |        11.6321 +/- 4.7516 
           Par1 |    -0.249294 +/- 0.059734 
           Par2 |    1.1832e-08 +/- 1.51928 
           Par3 |     0.0853067 +/- 0.02347 
           Par4 |        1.7101 +/- 4.24272 
           Par5 |   0.00488489 +/- 0.162452 
           Par6 |       21.9605 +/- 2.70427 
           Par7 |   -0.128712 +/- 0.0247227 
           Par8 |      1.87557 +/- 0.698512 
           Par9 | 1.12424e-12 +/- 0.0182455 


