
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |         14.0265 +/- 2.09341 
             Par1 |    -0.0822356 +/- 0.0165295 
             Par2 |         2.83526 +/- 1.72718 
             Par3 |      0.110745 +/- 0.0139696 
             Par4 |      0.046701 +/- 0.0284018 
             Par5 | 1.26871e-09 +/- 0.000349388 
             Par6 |         78.7806 +/- 20.1473 
             Par7 |      -0.576098 +/- 0.124602 
             Par8 |         36.0138 +/- 6.42997 
             Par9 |   2.01877e-06 +/- 0.0785937 


