
 TF_Par_B_00_13 |                Parameters 
           Par0 |       1.33309 +/- 10.6666 
           Par1 |   0.0100972 +/- 0.0661901 
           Par2 |       11.9883 +/- 2.97039 
           Par3 | 7.25359e-10 +/- 0.0588084 
           Par4 |     0.703771 +/- 0.852722 
           Par5 |  8.08029e-06 +/- 0.307187 
           Par6 |      -15.2013 +/- 4.73838 
           Par7 |     -0.202141 +/- 0.04256 
           Par8 |   4.34192e-11 +/- 1.51509 
           Par9 |   0.0381221 +/- 0.0157656 


