
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |        12.1898 +/- 0.553503 
             Par1 |   -0.0533936 +/- 0.00318148 
             Par2 |        9.49364 +/- 0.464067 
             Par3 |    0.0767816 +/- 0.00263387 
             Par4 |    0.0103656 +/- 0.00171886 
             Par5 | 4.75175e-13 +/- 9.66613e-07 
             Par6 |           60.607 +/- 9.4422 
             Par7 |      -0.11695 +/- 0.0628114 
             Par8 |         20.2559 +/- 5.97358 
             Par9 |       0.375279 +/- 0.040479 


