
 TF_Par_B_00_24 |                Parameters 
           Par0 |        13.3352 +/- 6.1976 
           Par1 |   -0.135056 +/- 0.0400438 
           Par2 |       8.50028 +/- 2.41208 
           Par3 | 4.03856e-08 +/- 0.0151219 
           Par4 |  6.86564e-06 +/- 0.291671 
           Par5 | 0.00203391 +/- 0.00147722 
           Par6 |      0.973868 +/- 29.0876 
           Par7 |    -0.294028 +/- 0.111019 
           Par8 |       16.6061 +/- 7.10064 
           Par9 | 6.74449e-07 +/- 0.0651087 


