
 TF_Par_UDS_00_13 |                Parameters 
             Par0 |      -17.1766 +/- 39.5046 
             Par1 |     0.500652 +/- 0.406566 
             Par2 |         29.497 +/- 12.624 
             Par3 |  2.81234e-08 +/- 0.290346 
             Par4 |     4.6876e-05 +/- 11.892 
             Par5 |       1.33686 +/- 1.66592 
             Par6 |        2.5867 +/- 1.20358 
             Par7 | -0.00269099 +/- 0.0169281 
             Par8 |       4.90215 +/- 1.09856 
             Par9 |   0.0878903 +/- 0.0118427 


