
 TF_Par_B_00_13 |                Parameters 
           Par0 |      -13.4888 +/- 5.07809 
           Par1 |  -0.0316535 +/- 0.0442225 
           Par2 |        5.00422 +/- 1.8662 
           Par3 | 4.74205e-10 +/- 0.0220496 
           Par4 |        2.23616 +/- 1.7498 
           Par5 | 2.85147e-07 +/- 0.0277895 
           Par6 |        4.30517 +/- 3.4703 
           Par7 |   0.0157267 +/- 0.0452537 
           Par8 |   5.23315e-07 +/- 1.34762 
           Par9 |   0.0380342 +/- 0.0112634 


