
 TF_Par_C_00_24 |                  Parameters 
           Par0 |         2.86523 +/- 1.31148 
           Par1 |    -0.0495709 +/- 0.0198995 
           Par2 |         2.8761 +/- 0.914473 
           Par3 |      0.100316 +/- 0.0142626 
           Par4 |       0.025835 +/- 0.012563 
           Par5 | 5.84942e-10 +/- 0.000312227 
           Par6 |          29.692 +/- 18.9538 
           Par7 |      -0.266423 +/- 0.236145 
           Par8 |         21.7811 +/- 11.6318 
           Par9 |      0.0907022 +/- 0.132158 


