
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |          1.12427 +/- 0.2421 
             Par1 |   -0.0193178 +/- 0.00251361 
             Par2 |        2.55853 +/- 0.222565 
             Par3 |     0.103038 +/- 0.00233752 
             Par4 |    0.0357733 +/- 0.00218793 
             Par5 | 4.60247e-13 +/- 6.49967e-06 
             Par6 |         20.2103 +/- 3.67868 
             Par7 |     0.0040058 +/- 0.0285354 
             Par8 |         25.4065 +/- 1.80147 
             Par9 |      0.248578 +/- 0.0144212 


