
 TF_Par_C_00_24 |                  Parameters 
           Par0 |        1.30706 +/- 0.439419 
           Par1 |   -0.0464517 +/- 0.00465398 
           Par2 |          1.3888 +/- 0.40228 
           Par3 |     0.119074 +/- 0.00449099 
           Par4 |    0.0385149 +/- 0.00522083 
           Par5 | 6.60131e-09 +/- 0.000217887 
           Par6 |         13.2238 +/- 6.98936 
           Par7 |    -0.0707285 +/- 0.0509412 
           Par8 |         23.7095 +/- 3.89118 
           Par9 |      0.253657 +/- 0.0320797 


