
 TF_Par_T_00_13 |                Parameters 
           Par0 |      -48.9401 +/- 44.2064 
           Par1 |    -0.110533 +/- 0.282105 
           Par2 |       19.0793 +/- 10.3648 
           Par3 | 3.32974e-07 +/- 0.0748411 
           Par4 |     0.265102 +/- 0.477107 
           Par5 |  4.07453e-07 +/- 0.232859 
           Par6 |       58.8598 +/- 7.78548 
           Par7 |     -1.02257 +/- 0.156464 
           Par8 |       5.99974 +/- 2.43526 
           Par9 |   1.37247e-08 +/- 0.05753 


