
 TF_Par_B_13_24 |                  Parameters 
           Par0 |        6.01656 +/- 0.727687 
           Par1 |     -0.07053 +/- 0.00439984 
           Par2 |        4.35334 +/- 0.755812 
           Par3 |     0.117263 +/- 0.00537312 
           Par4 |    0.0308633 +/- 0.00629565 
           Par5 | 0.000113241 +/- 4.10296e-05 
           Par6 |         57.9896 +/- 6.52487 
           Par7 |     -0.208278 +/- 0.0285576 
           Par8 |         37.7843 +/- 3.56172 
           Par9 |      0.211663 +/- 0.0186463 


