
 TF_Par_C_00_24 |                  Parameters 
           Par0 |         3.03722 +/- 2.61395 
           Par1 |    -0.0200804 +/- 0.0410825 
           Par2 |          2.7403 +/- 1.46153 
           Par3 |     0.0929518 +/- 0.0244591 
           Par4 |   2.09204e-06 +/- 0.0755794 
           Par5 | 0.000617783 +/- 0.000351083 
           Par6 |         41.6513 +/- 11.0655 
           Par7 |      -0.336579 +/- 0.156359 
           Par8 |         9.55011 +/- 9.97187 
           Par9 |       0.236794 +/- 0.129319 


