
 TF_Par_B_00_24 |                Parameters 
           Par0 |      -3.50723 +/- 11.2662 
           Par1 |    0.0217043 +/- 0.063448 
           Par2 |       14.7123 +/- 3.64755 
           Par3 | 1.22828e-07 +/- 0.0213491 
           Par4 |     0.729093 +/- 0.593322 
           Par5 | 6.19169e-07 +/- 0.0152512 
           Par6 |       20.6382 +/- 8.95984 
           Par7 |   -0.335256 +/- 0.0609316 
           Par8 |    0.000108103 +/- 4.1661 
           Par9 |   0.0524126 +/- 0.0188876 


