
 TF_Par_G_13_24 |                Parameters 
           Par0 |       11.0513 +/- 1.80604 
           Par1 |   -0.128327 +/- 0.0110534 
           Par2 |        3.5865 +/- 1.42904 
           Par3 |    0.114807 +/- 0.0083396 
           Par4 |  0.0536084 +/- 0.00885562 
           Par5 | 3.348e-10 +/- 4.77285e-05 
           Par6 |        10.307 +/- 16.7768 
           Par7 |    0.449238 +/- 0.0796477 
           Par8 |       42.8687 +/- 5.38158 
           Par9 | 6.44611e-08 +/- 0.0287591 


