
 TF_Par_G_00_24 |                  Parameters 
           Par0 |         1.59413 +/- 1.10856 
           Par1 |    -0.0626539 +/- 0.0120704 
           Par2 |         1.97267 +/- 1.14716 
           Par3 |      0.111359 +/- 0.0114313 
           Par4 |     0.0811871 +/- 0.0319988 
           Par5 | 3.10854e-11 +/- 0.000167937 
           Par6 |         22.1585 +/- 7.45232 
           Par7 |     -0.201646 +/- 0.0619665 
           Par8 |          11.1789 +/- 4.1092 
           Par9 |       0.16883 +/- 0.0410337 


