
 TF_Par_C_00_13 |                  Parameters 
           Par0 |        0.558323 +/- 0.54933 
           Par1 |   -0.0359637 +/- 0.00660794 
           Par2 |        1.73118 +/- 0.485247 
           Par3 |     0.110276 +/- 0.00609813 
           Par4 |     0.043638 +/- 0.00645302 
           Par5 | 9.00659e-11 +/- 0.000294075 
           Par6 |         11.0351 +/- 8.12795 
           Par7 |     -0.125705 +/- 0.0690633 
           Par8 |         28.0728 +/- 4.55844 
           Par9 |       0.175827 +/- 0.041496 


