
 TF_Par_C_13_24 |                  Parameters 
           Par0 |         9.51672 +/- 2.04694 
           Par1 |    -0.0459064 +/- 0.0119842 
           Par2 |         4.66393 +/- 1.81148 
           Par3 |    0.0751455 +/- 0.00960622 
           Par4 |      0.220321 +/- 0.0698028 
           Par5 | 4.81739e-12 +/- 4.28404e-05 
           Par6 |         38.2584 +/- 6.93564 
           Par7 |     -0.260268 +/- 0.0450404 
           Par8 |         13.2935 +/- 3.82797 
           Par9 |      0.129351 +/- 0.0202841 


