
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |        4.24015 +/- 0.919438 
             Par1 |    -0.0361391 +/- 0.0144001 
             Par2 |         2.9337 +/- 0.686763 
             Par3 |     0.0969912 +/- 0.0110348 
             Par4 |    0.00341529 +/- 0.0153325 
             Par5 | 0.000751808 +/- 0.000395667 
             Par6 |         8.15414 +/- 7.26443 
             Par7 |   -0.00709793 +/- 0.0472995 
             Par8 |          21.8346 +/- 4.4077 
             Par9 |      0.102074 +/- 0.0303547 


